Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
le-mans,Le Mans Rooftop Ventilator,"<p>The Le Mans is where style meets raw airflow. A sleek, low-profile cover (only 64 mm above the roof, so it sits happily next to solar panels) hides a motor that moves 850 m³/h in either direction: suck hot, humid or contaminated air out, or blow fresh air in. It is the ventilator that bodybuilders across Europe specify when a vehicle simply has to stay fresh.</p><p>Choose 12V for vans, campers and passenger vehicles, or 24V for trucks, coaches and buses. Both versions are EMC approved, so they will not interfere with your vehicle electronics. Prefer a passive solution? The motorless version uses the same 230 mm roof cut-out and can be upgraded to electric later.</p><p>Finish the installation with a 3-way switch (blow / off / suck), an optional speed controller and one of our interior valves or grilles. Everything fits the same 230 mm opening.</p><h3>Key features</h3><ul><li>850 m³/h airflow, suction and blowing</li><li>12V or 24V motor, 80 W, 2600 rpm</li><li>Only 52 dB(A) at full speed, quieter with speed control</li><li>Low profile: 64 mm above the roof, 385 x 312 mm footprint</li><li>Streamlined ABS roof ring with PA6 cover, 1.3 kg</li><li>Roof opening 230 mm (245 mm with ring)</li><li>EMC approved motor, test report available</li><li>Rain-resistant design, snow filter optional</li></ul><h3>Specifications</h3><table><tr><th>Airflow</th><td>850 m³/h</td></tr><tr><th>Voltage</th><td>12V or 24V DC</td></tr><tr><th>Power</th><td>80 W (approx. 6 A at 12V)</td></tr><tr><th>Nominal speed</th><td>2600 rpm</td></tr><tr><th>Noise level</th><td>52 dB(A)</td></tr><tr><th>Function</th><td>Suction and blowing (reversible)</td></tr><tr><th>Roof opening</th><td>Ø 230 mm (outer ring Ø 245 mm)</td></tr><tr><th>Outer dimensions</th><td>385 x 312 mm, 64 mm high</td></tr><tr><th>Weight</th><td>1.3 kg</td></tr><tr><th>Materials</th><td>ABS roof ring, PA6 cover</td></tr><tr><th>Colours</th><td>White RAL 9010 or Black RAL 9005</td></tr><tr><th>Approval</th><td>EMC approved</td></tr><tr><th>Accessories</th><td>Switch, speed control, interior valve, snow filter</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Commercial Vans & Service Vehicles,Horse Trailers & Horseboxes,Ambulances & Emergency Vehicles,Buses & Coaches,Campers & Motorhomes,Animal & Livestock Transport,Boats & Marine,Bestseller,EMC approved,12V / 24V",TRUE,Voltage,12V,Colour,White,,,02-2200,,shopify,25,continue,manual,149,185,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-2200-foto-1400.webp,1,Le Mans Rooftop Ventilator,,Le Mans Rooftop Ventilator · The 850 m³/h benchmark in vehicle ventilation,"The most popular electric roof fan for ambulances, horse trucks, buses and commercial vehicles. 850 m³/h of suction or blowing power under a streamlined cover, available in 12V and 24V, white or black.",kg,active
le-mans,,,,,,,,,12V,,Black,,,02-2200-ZW,,shopify,25,continue,manual,149,185,TRUE,TRUE,,https://pegasusdepot.com/assets/img/rooftopventilator-1400.webp,2,Le Mans Rooftop Ventilator,,,,kg,
le-mans,,,,,,,,,24V,,White,,,02-2300,,shopify,25,continue,manual,149,185,TRUE,TRUE,,https://pegasusdepot.com/assets/img/le-mans-vehicle-1400.webp,3,Le Mans Rooftop Ventilator,,,,kg,
le-mans,,,,,,,,,24V,,Black,,,02-2300-ZW,,shopify,25,continue,manual,149,185,TRUE,TRUE,,https://pegasusdepot.com/assets/img/le-mans-ventilator-2-1400.webp,4,Le Mans Rooftop Ventilator,,,,kg,
le-mans,,,,,,,,,Motorless,,White,,,02-2900,,shopify,25,continue,manual,95,115,TRUE,TRUE,,https://pegasusdepot.com/assets/img/20210709_155303-scaled-1400.webp,5,Le Mans Rooftop Ventilator,,,,kg,
le-mans-ll,Le Mans LL Brushless Rooftop Ventilator,"<p>The Le Mans LL takes the proven Le Mans shape and fits it with a brushless motor. The result: a ventilator that runs for years without servicing, draws only 34 W and is available with an integrated speed control unit.</p><p>The LL is an extraction-only ventilator, which is exactly what most loading areas, animal compartments and coach toilets need: a constant, healthy discharge of humid or contaminated air. Pair it with a floor ventilator for a complete airflow loop.</p><p>Order the 12V or 24V version, with or without built-in speed control. A 3-way switch and interior valve are available separately. Saw template included.</p><h3>Key features</h3><ul><li>Brushless motor, maintenance-free</li><li>515 m³/h (12V) or 565 m³/h (24V) extraction</li><li>Only 34 W power consumption</li><li>3100 rpm, 65 dB(A)</li><li>Optional integrated speed control unit</li><li>Grey ABS roof ring, white PA6 cover</li><li>Roof opening 230 mm, EMC approved, saw template included</li></ul><h3>Specifications</h3><table><tr><th>Airflow</th><td>515 m³/h (12V) · 565 m³/h (24V)</td></tr><tr><th>Voltage</th><td>12V or 24V DC</td></tr><tr><th>Power</th><td>34 W</td></tr><tr><th>Nominal speed</th><td>3100 rpm</td></tr><tr><th>Noise level</th><td>65 dB(A)</td></tr><tr><th>Function</th><td>Suction (extraction)</td></tr><tr><th>Motor</th><td>Brushless</td></tr><tr><th>Roof opening</th><td>Ø 230 mm</td></tr><tr><th>Mounting height</th><td>approx. 100 mm</td></tr><tr><th>Materials</th><td>ABS roof ring (grey), PA6 cover (white RAL 9010)</td></tr><tr><th>Approval</th><td>EMC approved</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Commercial Vans & Service Vehicles,Animal & Livestock Transport,Buses & Coaches,Horse Trailers & Horseboxes,Brushless,EMC approved,12V / 24V",TRUE,Voltage,12V,Speed control,Without,,,02-4200,,shopify,25,continue,manual,259,299,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-4200-foto-1400.webp,1,Le Mans LL Brushless Rooftop Ventilator,,Le Mans LL Brushless Rooftop Ventilator · Brushless. Longer life. Lower draw.,"The long-life version of the Le Mans. A brushless motor pulls 515 to 565 m³/h of air out of your vehicle at only 34 W, with no brushes to wear out. Ideal for damp loading areas, animal transport, chemical transport and coaches.",kg,active
le-mans-ll,,,,,,,,,12V,,Integrated,,,02-4250,,shopify,25,continue,manual,299,345,TRUE,TRUE,,,,,,,,kg,
le-mans-ll,,,,,,,,,24V,,Without,,,02-4300,,shopify,25,continue,manual,259,299,TRUE,TRUE,,,,,,,,kg,
le-mans-ll,,,,,,,,,24V,,Integrated,,,02-4350,,shopify,25,continue,manual,299,345,TRUE,TRUE,,,,,,,,kg,
rooftop-round,Round Rooftop Ventilator,"<p>Our round electric rooftop ventilator delivers a healthy supply and exhaust of air in commercial vehicles, campers and cars. It shares the Le Mans motor platform (850 m³/h, 80 W) but uses a round Ø 320 mm cover, just 62 mm high, that suits many classic vehicle roofs and fits under most roof racks.</p><p>Use the 3-position switch to choose intake or extraction, and add the speed controller to dial the airflow (and the noise) down when you only need a trickle of fresh air overnight.</p><p>Available in 12V and 24V, white or black, and as a motorless version that can be motorised later. The cover can be painted in your body colour.</p><h3>Key features</h3><ul><li>850 m³/h airflow, suction and blowing</li><li>12V or 24V, 80 W, 2600 rpm, 52 dB(A)</li><li>Round Ø 320 mm cover, only 62 mm high</li><li>ABS / PA6 housing, white or black, IP68 motor</li><li>Roof opening 230 mm (245 mm ring)</li><li>EMC approved</li><li>Optional: switch, speed control, interior valve, snow filter</li></ul><h3>Specifications</h3><table><tr><th>Airflow</th><td>850 m³/h</td></tr><tr><th>Voltage</th><td>12V or 24V DC</td></tr><tr><th>Power</th><td>80 W</td></tr><tr><th>Nominal speed</th><td>2600 rpm</td></tr><tr><th>Noise level</th><td>52 dB(A)</td></tr><tr><th>Function</th><td>Suction and blowing</td></tr><tr><th>Roof opening</th><td>Ø 230 mm (outer ring Ø 245 mm)</td></tr><tr><th>Outer dimensions</th><td>Ø 320 mm, 62 mm high</td></tr><tr><th>Weight</th><td>approx. 1.5 kg</td></tr><tr><th>Materials</th><td>ABS roof ring, PA6 cover</td></tr><tr><th>Colours</th><td>White RAL 9010 or Black RAL 9005</td></tr><tr><th>Approval</th><td>EMC approved</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Campers & Motorhomes,Commercial Vans & Service Vehicles,Animal & Livestock Transport,Boats & Marine,Horse Trailers & Horseboxes,EMC approved,12V / 24V",TRUE,Voltage,12V,Colour,White,,,02-0200,,shopify,25,continue,manual,139,159,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-0200-foto-1400.webp,1,Round Rooftop Ventilator,,Round Rooftop Ventilator · 850 m³/h in a classic round housing,"The same 850 m³/h motor as the Le Mans in a round ABS housing, only 62 mm high. Blow and suck with the 3-way switch, reduce noise with a speed controller. Loved in campers, caravans, trailers, houseboats and loading areas.",kg,active
